id;timestamp;vehicle_owner;vehicle_plate;space_id
1;2025-05-14 18:05:39.805351;Terri Mason;QPE-713;4
2;2025-05-14 18:07:39.805351;Bobby Williams MD;YWV-308;10
3;2025-05-14 18:08:39.805351;David Davis;TOT-453;29
4;2025-05-14 18:09:39.805351;Sara Johnston;ACG-657;30
5;2025-05-14 18:10:39.805351;Yvonne Chambers;IWG-144;33
6;2025-05-14 18:10:39.805351;Andrew Avila;MSR-904;44
7;2025-05-14 18:10:39.805351;Matthew Moon;GDC-755;48
8;2025-05-14 18:11:39.805351;Kevin Walters;TIH-107;25
9;2025-05-14 18:11:39.805351;Brandon Bailey MD;ZQL-512;37
10;2025-05-14 18:12:39.805351;Shannon Rivera;HZP-570;8
11;2025-05-14 18:13:39.805351;Donna Landry;TIH-107;20
12;2025-05-14 18:14:39.805351;Krista Gibson;QJJ-229;15
13;2025-05-14 18:16:39.805351;Frank Cordova;HZP-570;43
14;2025-05-14 18:17:39.805351;Jose Travis;PBC-653;28
15;2025-05-14 18:18:39.805351;Kimberly Gutierrez;BJZ-598;27
16;2025-05-14 18:19:39.805351;Isaiah Avila;PBC-653;48
17;2025-05-14 18:20:39.805351;Olivia Harris;KYZ-571;24
18;2025-05-14 18:21:39.805351;Tanya Kim;HZP-570;50
19;2025-05-14 18:21:39.805351;Barbara Dudley;DTO-750;23
20;2025-05-14 18:22:39.805351;Cynthia Moore;IWG-144;16
21;2025-05-14 18:22:39.805351;Kristen Davis;IWG-144;14
22;2025-05-14 18:23:39.805351;Susan Murray MD;CBC-674;13
23;2025-05-14 18:26:39.805351;Kathleen Moran;BNW-008;39
24;2025-05-14 18:27:39.805351;Denise Davenport;TIH-107;46
25;2025-05-14 18:28:39.805351;Mrs. Kristen Reyes;HZP-570;33
26;2025-05-14 18:31:39.805351;Katie Suarez;DTO-750;49
27;2025-05-14 18:32:39.805351;Desiree Tyler;PBC-653;34
28;2025-05-14 18:32:39.805351;Timothy Romero;BNW-008;39
29;2025-05-14 18:34:39.805351;Diane Evans;LHW-714;12
30;2025-05-14 18:35:39.805351;Yvonne Burns;IPF-206;29
31;2025-05-14 18:35:39.805351;Joshua Reed;LDX-026;32
32;2025-05-14 18:35:39.805351;Kimberly Gibson;FMX-611;1
33;2025-05-14 18:37:39.805351;Colin Terry;DTO-750;33
34;2025-05-14 18:38:39.805351;Cynthia Rowe;KYZ-571;3
35;2025-05-14 18:39:39.805351;Patrick Thornton;KMW-910;22
36;2025-05-14 18:40:39.805351;Jasmin Alvarado;BJZ-598;36
37;2025-05-14 18:40:39.805351;Veronica Simpson;LWO-098;41
38;2025-05-14 18:40:39.805351;Jonathan Lawrence;FMX-611;40
39;2025-05-14 18:41:39.805351;Shelly Alexander;IWG-144;6
40;2025-05-14 18:42:39.805351;Joyce Bowen;KYZ-571;2
41;2025-05-14 18:42:39.805351;Matthew Moore;SBF-202;38
42;2025-05-14 18:43:39.805351;Wayne Morgan;CJJ-320;10
43;2025-05-14 18:44:39.805351;Marie Christian;VZN-169;17
44;2025-05-14 18:44:39.805351;Shannon James;KMW-910;42
45;2025-05-14 18:46:39.805351;Nathan Malone;RVU-203;21
46;2025-05-14 18:47:39.805351;Amanda Jones;HZP-570;29
47;2025-05-14 18:47:39.805351;Tammie Bright;HZP-570;7
48;2025-05-14 18:49:39.805351;Jessica Garcia;IPF-206;45
49;2025-05-14 18:49:39.805351;Shelia Wallace;LDX-026;9
50;2025-05-14 18:49:39.805351;Stephanie Williams;RVU-203;31
51;2025-05-14 18:49:39.805351;Elaine Brooks;MSR-904;25
52;2025-05-14 18:51:39.805351;Joseph Knight;ENP-997;28
53;2025-05-14 18:52:39.805351;Carolyn Miller;TIH-107;5
54;2025-05-14 18:52:39.805351;Lisa Allen;PBC-653;15
55;2025-05-14 18:55:39.805351;Briana Murray;IPF-206;47
56;2025-05-14 18:55:39.805351;David Smith;TOT-453;46
57;2025-05-14 18:56:39.805351;Stephanie Byrd;OMU-810;34
58;2025-05-14 18:57:39.805351;Jeremy Reed;TOT-453;50
59;2025-05-14 18:58:39.805351;Margaret Coleman;ENP-997;3
60;2025-05-14 19:00:39.805351;Ryan Gonzalez;VZN-169;11
61;2025-05-14 19:00:39.805351;John Young;IWG-144;26
