id;email;name;surname;username;password;phone;role;parking_id
1;cwilliams@example.com;Christopher;Williams;cwilliams;hiD9r!ff_1V*;2269166978;USER;1
2;jbrooks@example.com;James;Brooks;jbrooks;N^i)CNx7qJ31;8809570154;USER;4
3;wsantos@example.com;Wanda;Santos;wsantos;%!#1Q8WufrU5;8713315098;USER;2
4;cjordan@example.com;Collin;Jordan;cjordan;#q^6p*Fi@&h5;6701065133;ADMIN;3
5;fsmith@example.com;Franklin;Smith;fsmith;!bpBx^1Wb5(r;4746872343;USER;3
6;rsilva@example.com;Robert;Silva;rsilva;9P)Dc69K)ADl;4353462475;ADMIN;5
7;sgarcia@example.com;Sarah;Garcia;sgarcia;4nBC)y+K*T(c;4118244935;USER;2
8;maguilar@example.com;Mary;Aguilar;maguilar;)2r@gCHfpl7k;6204505331;ADMIN;2
9;jvelasquez@example.com;Jeffrey;Velasquez;jvelasquez;&x1Ka(KfB8PG;5433036541;USER;1
10;jsmith@example.com;Jeanne;Smith;jsmith;2bG40RIeA3+W;5615951484;USER;5
11;wleon@example.com;William;Leon;wleon;^I7TdOya!hi$;1489513433;USER;1
12;awilliams@example.com;April;Williams;awilliams;L*2XjNpKe5Cs;1727889579;ADMIN;1
13;hmccarthy@example.com;Heather;Mccarthy;hmccarthy;AG&nRglsO87A;6658760366;USER;3
14;mcalhoun@example.com;Mary;Calhoun;mcalhoun;$Ghk6&@Rz7Kj;6990162720;USER;1
15;emartinez@example.com;Elijah;Martinez;emartinez;!Fv2VS5dv4lk;9374529912;USER;4
16;rwood@example.com;Ross;Wood;rwood;nV(7vOLnUbCO;0671657262;USER;2
17;mgreen@example.com;Michael;Green;mgreen;@7HOzFSDzSE_;9480831367;ADMIN;2
18;jwilson@example.com;James;Wilson;jwilson;#84SA)qwqUMK;3374989413;USER;4
19;djones@example.com;Danny;Jones;djones;Q9y)zAXXgwH3;1902294131;USER;5
20;gjones@example.com;Glenn;Jones;gjones;v_SZVn^zAhU9;6797403447;USER;5
